page_id,cluster_id,week_index,archetype_id,content_age_days,word_count,internal_inlinks,serp_feature_count,avg_position,impressions,clicks,observed_ctr,estimated_bounce_rate,avg_dwell_sec
anon_page_0003,cluster_03,1,4,239,2044,7,2,9.15,11362,764,0.0672,0.681,162
anon_page_0003,cluster_03,2,4,246,2044,7,1,8.36,7339,438,0.0597,0.674,137
anon_page_0003,cluster_03,3,4,253,2044,7,1,8.57,7874,471,0.0598,0.77,89
anon_page_0003,cluster_03,4,4,260,2044,7,0,8.69,8009,474,0.0592,0.813,184
anon_page_0003,cluster_03,5,4,267,2044,7,0,9.08,9370,569,0.0607,0.639,143
anon_page_0003,cluster_03,6,4,274,2044,7,1,9.13,9172,547,0.0596,0.647,177
anon_page_0003,cluster_03,7,4,281,2044,7,3,9.61,10949,678,0.0619,0.52,141
anon_page_0003,cluster_03,8,4,288,2044,7,1,8.96,7543,417,0.0553,0.794,112
anon_page_0003,cluster_03,9,4,295,2044,7,0,10.21,12831,819,0.0638,0.687,115
anon_page_0003,cluster_03,10,4,302,2044,7,1,10.35,13060,829,0.0635,0.777,145
anon_page_0003,cluster_03,11,4,309,2044,7,1,10.38,12791,797,0.0623,0.586,118
anon_page_0003,cluster_03,12,4,316,2044,7,0,10.28,11907,714,0.06,0.665,125
anon_page_0003,cluster_03,13,4,323,2044,7,0,10.67,13278,819,0.0617,0.419,101
anon_page_0003,cluster_03,14,4,330,2044,7,1,9.7,8427,440,0.0522,0.599,177
anon_page_0003,cluster_03,15,4,337,2044,7,0,10.58,12011,696,0.0579,0.886,87
anon_page_0004,cluster_04,0,2,473,1679,2,1,9.93,5392,229,0.0425,0.795,121
anon_page_0004,cluster_04,1,2,480,1679,2,1,10.01,6259,296,0.0473,0.715,159
anon_page_0004,cluster_04,2,2,487,1679,2,0,9.47,5489,257,0.0468,0.657,169
anon_page_0004,cluster_04,3,2,494,1679,2,0,9.12,5183,249,0.048,0.653,170
anon_page_0004,cluster_04,4,2,501,1679,2,1,9.01,5547,284,0.0512,0.641,157
anon_page_0004,cluster_04,5,2,508,1679,2,2,8.8,5656,303,0.0536,0.623,131
anon_page_0004,cluster_04,6,2,515,1679,2,3,8.59,5740,321,0.0559,0.763,95
anon_page_0004,cluster_04,7,2,522,1679,2,2,8.03,4911,274,0.0558,0.745,145
anon_page_0004,cluster_04,8,2,529,1679,2,2,7.95,5353,317,0.0592,0.799,140
anon_page_0004,cluster_04,9,2,536,1679,2,3,7.79,5571,346,0.0621,0.816,155
anon_page_0004,cluster_04,10,2,543,1679,2,1,7.62,5763,374,0.0649,0.651,147
anon_page_0004,cluster_04,11,2,550,1679,2,3,7.17,5222,343,0.0657,0.683,175
anon_page_0004,cluster_04,12,2,557,1679,2,0,6.9,5148,350,0.068,0.877,195
anon_page_0004,cluster_04,13,2,564,1679,2,2,6.6,4999,350,0.07,0.724,179
anon_page_0004,cluster_04,14,2,571,1679,2,0,6.55,5518,407,0.0738,0.571,99
anon_page_0004,cluster_04,15,2,578,1679,2,2,6.59,6293,491,0.078,0.579,154
anon_page_0005,cluster_05,0,0,513,1836,2,2,4.41,2589,345,0.1333,0.478,120
anon_page_0005,cluster_05,1,0,520,1836,2,0,4.75,2980,396,0.1329,0.656,183
anon_page_0005,cluster_05,2,0,527,1836,2,0,4.76,2908,384,0.132,0.609,130
anon_page_0005,cluster_05,3,0,534,1836,2,1,4.74,2786,365,0.131,0.657,113
anon_page_0005,cluster_05,4,0,541,1836,2,3,4.85,2857,372,0.1302,0.78,95
anon_page_0005,cluster_05,5,0,548,1836,2,2,4.77,2665,344,0.1291,0.648,138
anon_page_0005,cluster_05,6,0,555,1836,2,3,4.93,2795,359,0.1284,0.551,205
anon_page_0005,cluster_05,7,0,562,1836,2,1,5.02,2836,363,0.128,0.846,114
anon_page_0005,cluster_05,8,0,569,1836,2,0,5.13,2900,369,0.1272,0.651,133
anon_page_0005,cluster_05,9,0,576,1836,2,1,5.2,2913,368,0.1263,0.55,118
anon_page_0005,cluster_05,10,0,583,1836,2,1,4.95,2478,309,0.1247,0.576,78
anon_page_0005,cluster_05,11,0,590,1836,2,2,5.25,2824,352,0.1246,0.545,150
anon_page_0005,cluster_05,12,0,597,1836,2,3,5.15,2587,319,0.1233,0.816,132
anon_page_0005,cluster_05,13,0,604,1836,2,2,5.31,2730,336,0.1231,0.465,175
anon_page_0005,cluster_05,14,0,611,1836,2,1,5.39,2752,336,0.1221,0.762,131
anon_page_0005,cluster_05,15,0,618,1836,2,2,5.45,2759,335,0.1214,0.64,135
anon_page_0006,cluster_06,0,3,448,1206,47,0,1.08,10835,1606,0.1482,0.679,147
anon_page_0006,cluster_06,1,3,455,1206,47,2,1.51,12472,1431,0.1147,0.678,141
anon_page_0006,cluster_06,2,3,462,1206,47,2,1.67,12460,1315,0.1055,0.739,107
anon_page_0006,cluster_06,3,3,469,1206,47,0,1.63,11367,1188,0.1045,0.627,178
anon_page_0006,cluster_06,4,3,476,1206,47,0,1.72,11029,1085,0.0984,0.633,84
anon_page_0006,cluster_06,5,3,483,1206,47,1,2.07,12124,1040,0.0858,0.544,156
anon_page_0006,cluster_06,6,3,490,1206,47,1,2.22,12133,971,0.08,0.582,163
anon_page_0006,cluster_06,7,3,497,1206,47,3,2.28,11575,885,0.0765,0.405,131
anon_page_0006,cluster_06,8,3,504,1206,47,1,2.43,11582,828,0.0715,0.575,165
anon_page_0006,cluster_06,9,3,511,1206,47,0,2.44,10722,739,0.0689,0.615,102
anon_page_0006,cluster_06,10,3,518,1206,47,2,2.66,11133,708,0.0636,0.477,191
anon_page_0006,cluster_06,11,3,525,1206,47,0,2.83,11206,667,0.0595,0.533,105
anon_page_0006,cluster_06,12,3,532,1206,47,0,2.99,11286,629,0.0557,0.486,129
anon_page_0006,cluster_06,13,3,539,1206,47,1,2.97,10264,548,0.0534,0.519,133
anon_page_0006,cluster_06,14,3,546,1206,47,2,3.29,11249,552,0.0491,0.574,103
anon_page_0006,cluster_06,15,3,553,1206,47,0,3.5,11551,530,0.0459,0.572,55
anon_page_0007,cluster_07,0,2,204,1031,1,0,7.3,12233,742,0.0607,0.788,185
anon_page_0007,cluster_07,1,2,211,1031,1,0,6.17,7910,456,0.0576,0.578,98
anon_page_0007,cluster_07,2,2,218,1031,1,0,6.22,9355,579,0.0619,0.546,149
anon_page_0007,cluster_07,3,2,225,1031,1,1,6.23,10601,700,0.066,0.654,189
anon_page_0007,cluster_07,4,2,232,1031,1,1,5.86,9970,678,0.068,0.561,133
anon_page_0007,cluster_07,5,2,239,1031,1,0,5.86,11176,804,0.0719,0.56,106
anon_page_0007,cluster_07,6,2,246,1031,1,1,5.52,10684,794,0.0743,0.831,150
anon_page_0007,cluster_07,7,2,253,1031,1,0,5.15,10080,773,0.0767,0.568,136
anon_page_0007,cluster_07,8,2,260,1031,1,0,4.79,9539,758,0.0795,0.539,77
anon_page_0007,cluster_07,9,2,267,1031,1,3,4.76,10565,881,0.0834,0.601,127
anon_page_0007,cluster_07,10,2,274,1031,1,0,4.32,9598,829,0.0864,0.692,171
anon_page_0007,cluster_07,11,2,281,1031,1,1,4.2,10238,924,0.0903,0.447,173
anon_page_0007,cluster_07,12,2,288,1031,1,1,3.82,9578,902,0.0942,0.663,167
anon_page_0007,cluster_07,13,2,295,1031,1,0,3.25,7969,793,0.0995,0.621,133
anon_page_0007,cluster_07,14,2,302,1031,1,0,3.55,10647,1092,0.1026,0.435,245
anon_page_0007,cluster_07,15,2,309,1031,1,0,2.95,8904,973,0.1093,0.503,152
anon_page_0008,cluster_08,0,0,440,1044,22,2,4.02,260,33,0.1269,0.59,145
anon_page_0008,cluster_08,1,0,447,1044,22,0,4.03,253,32,0.1265,0.619,134
anon_page_0008,cluster_08,2,0,454,1044,22,0,4.2,267,33,0.1236,0.639,121
anon_page_0008,cluster_08,3,0,461,1044,22,0,4.2,259,32,0.1236,0.653,126
anon_page_0008,cluster_08,4,0,468,1044,22,1,4.23,256,31,0.1211,0.822,130
anon_page_0008,cluster_08,5,0,475,1044,22,2,4.36,264,32,0.1212,0.413,107
anon_page_0008,cluster_08,6,0,482,1044,22,2,4.13,228,27,0.1184,0.578,90
anon_page_0008,cluster_08,7,0,489,1044,22,2,4.38,252,30,0.119,0.701,70
anon_page_0008,cluster_08,8,0,496,1044,22,0,4.46,254,30,0.1181,0.696,141
anon_page_0008,cluster_08,9,0,503,1044,22,1,4.56,258,31,0.1202,0.655,123
anon_page_0008,cluster_08,10,0,510,1044,22,2,4.62,259,30,0.1158,0.85,121
anon_page_0008,cluster_08,11,0,517,1044,22,1,4.66,256,30,0.1172,0.706,109
anon_page_0008,cluster_08,12,0,524,1044,22,2,4.69,252,29,0.1151,0.576,124
anon_page_0008,cluster_08,13,0,531,1044,22,2,4.82,261,30,0.1149,0.599,105
anon_page_0008,cluster_08,14,0,538,1044,22,0,4.76,245,28,0.1143,0.663,163
anon_page_0008,cluster_08,15,0,545,1044,22,1,4.96,263,30,0.1141,0.67,190
anon_page_0009,cluster_09,0,1,306,820,14,1,4.05,11139,1178,0.1058,0.499,133
anon_page_0009,cluster_09,1,1,313,820,14,2,4.45,10789,1065,0.0987,0.63,158
anon_page_0009,cluster_09,2,1,320,820,14,2,5.0,11302,1048,0.0927,0.652,141
anon_page_0009,cluster_09,3,1,327,820,14,1,5.06,9157,782,0.0854,0.791,115
anon_page_0009,cluster_09,4,1,334,820,14,3,5.55,9303,744,0.08,0.628,204
anon_page_0009,cluster_09,5,1,341,820,14,1,6.36,11212,861,0.0768,0.641,112
anon_page_0009,cluster_09,6,1,348,820,14,1,6.44,9177,640,0.0697,0.493,115
anon_page_0009,cluster_09,7,1,355,820,14,1,7.29,11249,761,0.0677,0.642,169
anon_page_0009,cluster_09,8,1,362,820,14,0,7.52,10053,621,0.0618,0.53,115
anon_page_0009,cluster_09,9,1,369,820,14,1,7.72,8634,480,0.0556,0.661,133
anon_page_0009,cluster_09,10,1,376,820,14,0,8.93,12683,725,0.0572,0.821,79
anon_page_0009,cluster_09,11,1,383,820,14,3,9.06,10911,553,0.0507,0.684,73
anon_page_0009,cluster_09,12,1,390,820,14,0,10.0,13523,686,0.0507,0.736,80
anon_page_0009,cluster_09,13,1,397,820,14,2,10.0,11018,476,0.0432,0.673,84
anon_page_0009,cluster_09,14,1,404,820,14,1,10.28,10055,382,0.038,0.681,139
anon_page_0009,cluster_09,15,1,411,820,14,1,10.1,6610,192,0.029,0.857,32
anon_page_0010,cluster_10,0,0,216,1596,8,0,3.04,1356,226,0.1667,0.718,118
anon_page_0010,cluster_10,1,0,223,1596,8,1,2.93,1248,207,0.1659,0.536,154
anon_page_0010,cluster_10,2,0,230,1596,8,0,2.94,1215,200,0.1646,0.66,163
anon_page_0010,cluster_10,3,0,237,1596,8,2,3.03,1232,201,0.1631,0.555,173
anon_page_0010,cluster_10,4,0,244,1596,8,0,3.08,1222,198,0.162,0.653,88
anon_page_0010,cluster_10,5,0,251,1596,8,2,3.42,1406,224,0.1593,0.546,169
anon_page_0010,cluster_10,6,0,258,1596,8,1,3.23,1245,198,0.159,0.454,160
anon_page_0010,cluster_10,7,0,265,1596,8,1,3.22,1198,190,0.1586,0.386,188
anon_page_0010,cluster_10,8,0,272,1596,8,2,3.45,1303,204,0.1566,0.589,165
anon_page_0010,cluster_10,9,0,279,1596,8,2,3.48,1286,200,0.1555,0.563,134
anon_page_0010,cluster_10,10,0,286,1596,8,1,3.58,1308,202,0.1544,0.431,117
anon_page_0010,cluster_10,11,0,293,1596,8,2,3.56,1260,193,0.1532,0.603,146
anon_page_0010,cluster_10,12,0,300,1596,8,0,3.61,1251,190,0.1519,0.524,86
anon_page_0010,cluster_10,13,0,307,1596,8,1,3.78,1321,199,0.1506,0.709,148
anon_page_0010,cluster_10,14,0,314,1596,8,1,3.81,1301,195,0.1499,0.704,104
anon_page_0010,cluster_10,15,0,321,1596,8,3,3.9,1317,196,0.1488,0.424,95
anon_page_0011,cluster_11,0,2,298,1186,5,1,9.04,1496,49,0.0328,0.816,202
anon_page_0011,cluster_11,1,2,305,1186,5,3,8.91,1587,57,0.0359,0.622,162
anon_page_0011,cluster_11,2,2,312,1186,5,1,8.63,1556,58,0.0373,0.715,92
anon_page_0011,cluster_11,3,2,319,1186,5,2,8.64,1762,73,0.0414,0.699,197
anon_page_0011,cluster_11,4,2,326,1186,5,0,8.14,1557,65,0.0417,0.874,161
anon_page_0011,cluster_11,5,2,333,1186,5,1,8.08,1711,78,0.0456,0.754,100
anon_page_0011,cluster_11,6,2,340,1186,5,3,7.64,1551,72,0.0464,0.658,110
anon_page_0011,cluster_11,7,2,347,1186,5,1,7.48,1620,80,0.0494,0.718,169
anon_page_0011,cluster_11,8,2,354,1186,5,1,7.37,1726,90,0.0521,0.785,139
anon_page_0011,cluster_11,9,2,361,1186,5,1,7.14,1740,95,0.0546,0.716,160
anon_page_0011,cluster_11,10,2,368,1186,5,3,6.84,1697,97,0.0572,0.539,169
anon_page_0011,cluster_11,11,2,375,1186,5,3,6.52,1638,96,0.0586,0.657,178
anon_page_0011,cluster_11,12,2,382,1186,5,1,6.32,1673,103,0.0616,0.659,117
anon_page_0011,cluster_11,13,2,389,1186,5,0,6.16,1738,113,0.065,0.675,146
anon_page_0011,cluster_11,14,2,396,1186,5,0,6.04,1840,125,0.0679,0.561,174
anon_page_0011,cluster_11,15,2,403,1186,5,2,5.29,1430,98,0.0685,0.739,119
anon_page_0012,cluster_12,0,4,44,694,31,1,7.83,4722,326,0.069,0.827,167
anon_page_0012,cluster_12,1,4,51,694,31,3,8.33,5844,417,0.0714,0.652,183
anon_page_0012,cluster_12,2,4,58,694,31,0,9.06,7556,569,0.0753,0.659,129
anon_page_0012,cluster_12,3,4,65,694,31,0,7.95,4318,283,0.0655,0.589,115
anon_page_0012,cluster_12,4,4,72,694,31,1,8.43,5357,362,0.0676,0.722,105
anon_page_0012,cluster_12,5,4,79,694,31,3,8.88,6325,439,0.0694,0.806,130
anon_page_0012,cluster_12,6,4,86,694,31,1,8.6,5327,351,0.0659,0.769,171
anon_page_0012,cluster_12,7,4,93,694,31,1,9.53,7588,543,0.0716,0.657,119
anon_page_0012,cluster_12,8,4,100,694,31,2,8.49,4539,281,0.0619,0.644,120
anon_page_0012,cluster_12,9,4,107,694,31,3,8.81,5152,324,0.0629,0.848,117
anon_page_0012,cluster_12,10,4,114,694,31,2,8.57,4246,253,0.0596,0.749,112
anon_page_0012,cluster_12,11,4,121,694,31,1,8.72,4416,262,0.0593,0.859,187
anon_page_0012,cluster_12,12,4,128,694,31,2,8.86,4534,266,0.0587,0.668,149
anon_page_0012,cluster_12,13,4,135,694,31,1,9.8,6829,442,0.0647,0.708,108
anon_page_0012,cluster_12,14,4,142,694,31,2,8.66,3485,189,0.0542,0.63,106
anon_page_0012,cluster_12,15,4,149,694,31,0,9.43,5339,314,0.0588,0.667,137
anon_page_0013,cluster_13,0,4,269,138,27,2,6.92,12765,1089,0.0853,0.633,167
anon_page_0013,cluster_13,1,4,276,138,27,2,6.93,12303,1032,0.0839,0.751,154
anon_page_0013,cluster_13,2,4,283,138,27,1,7.34,14089,1199,0.0851,0.794,119
anon_page_0013,cluster_13,3,4,290,138,27,2,7.14,12447,1024,0.0823,0.656,142
anon_page_0013,cluster_13,4,4,297,138,27,0,7.59,14458,1212,0.0838,0.6,150
anon_page_0013,cluster_13,5,4,304,138,27,1,7.28,12203,978,0.0801,0.695,138
anon_page_0013,cluster_13,6,4,311,138,27,1,6.49,7291,537,0.0737,0.734,181
anon_page_0013,cluster_13,7,4,318,138,27,0,7.37,11663,907,0.0778,0.702,183
anon_page_0013,cluster_13,8,4,325,138,27,1,7.3,10793,818,0.0758,0.704,140
anon_page_0013,cluster_13,9,4,332,138,27,0,7.64,12186,935,0.0767,0.79,103
anon_page_0013,cluster_13,10,4,339,138,27,1,7.6,11409,854,0.0749,0.612,119
anon_page_0013,cluster_13,11,4,346,138,27,2,7.68,11384,842,0.074,0.628,144
anon_page_0013,cluster_13,12,4,353,138,27,1,8.49,15378,1206,0.0784,0.693,81
anon_page_0013,cluster_13,13,4,360,138,27,3,7.6,9876,695,0.0704,0.537,66
anon_page_0013,cluster_13,14,4,367,138,27,1,8.11,12223,887,0.0726,0.642,165
anon_page_0013,cluster_13,15,4,374,138,27,0,8.64,14638,1098,0.075,0.768,128
anon_page_0014,cluster_14,0,1,312,745,63,2,5.86,3126,293,0.0937,0.792,155
anon_page_0014,cluster_14,1,1,319,745,63,0,6.6,3649,330,0.0904,0.696,150
anon_page_0014,cluster_14,2,1,326,745,63,2,7.2,3897,338,0.0867,0.719,105
anon_page_0014,cluster_14,3,1,333,745,63,0,7.59,3772,309,0.0819,0.701,152
anon_page_0014,cluster_14,4,1,340,745,63,0,7.94,3573,275,0.077,0.833,139
anon_page_0014,cluster_14,5,1,347,745,63,1,8.23,3261,233,0.0715,0.691,82
anon_page_0014,cluster_14,6,1,354,745,63,0,8.89,3636,251,0.069,0.64,102
anon_page_0014,cluster_14,7,1,361,745,63,1,9.55,4002,267,0.0667,0.676,46
anon_page_0014,cluster_14,8,1,368,745,63,1,9.38,2847,165,0.058,0.794,127
anon_page_0014,cluster_14,9,1,375,745,63,0,10.33,3741,218,0.0583,0.64,111
anon_page_0014,cluster_14,10,1,382,745,63,1,10.66,3511,188,0.0535,0.627,125
anon_page_0014,cluster_14,11,1,389,745,63,0,11.54,4283,229,0.0535,0.782,45
anon_page_0014,cluster_14,12,1,396,745,63,0,11.5,3371,154,0.0457,0.692,98
anon_page_0014,cluster_14,13,1,403,745,63,0,11.83,3140,129,0.0411,0.946,120
anon_page_0014,cluster_14,14,1,410,745,63,0,12.32,3195,121,0.0379,0.834,106
anon_page_0014,cluster_14,15,1,417,745,63,2,12.72,3078,104,0.0338,0.79,75
anon_page_0015,cluster_15,0,3,592,1670,7,1,3.65,25863,1902,0.0735,0.534,128
anon_page_0015,cluster_15,1,3,599,1670,7,0,3.65,24040,1708,0.071,0.538,124
anon_page_0015,cluster_15,2,3,606,1670,7,3,3.76,23503,1608,0.0684,0.648,107
anon_page_0015,cluster_15,3,3,613,1670,7,2,3.89,23267,1531,0.0658,0.605,201
anon_page_0015,cluster_15,4,3,620,1670,7,0,4.22,25387,1611,0.0635,0.658,102
anon_page_0015,cluster_15,5,3,627,1670,7,1,4.28,24240,1479,0.061,0.59,84
anon_page_0015,cluster_15,6,3,634,1670,7,2,4.41,24047,1413,0.0588,0.683,78
anon_page_0015,cluster_15,7,3,641,1670,7,1,4.46,22769,1282,0.0563,0.642,164
anon_page_0015,cluster_15,8,3,648,1670,7,1,4.82,25202,1379,0.0547,0.58,83
anon_page_0015,cluster_15,9,3,655,1670,7,1,4.79,23011,1200,0.0521,0.773,172
anon_page_0015,cluster_15,10,3,662,1670,7,2,4.93,22925,1148,0.0501,0.668,139
anon_page_0015,cluster_15,11,3,669,1670,7,1,5.11,23208,1119,0.0482,0.687,117
anon_page_0015,cluster_15,12,3,676,1670,7,1,5.34,24188,1129,0.0467,0.352,93
anon_page_0015,cluster_15,13,3,683,1670,7,1,5.46,23720,1059,0.0446,0.51,161
anon_page_0015,cluster_15,14,3,690,1670,7,3,5.54,22932,976,0.0426,0.676,79
anon_page_0015,cluster_15,15,3,697,1670,7,0,5.71,23083,943,0.0409,0.652,86
anon_page_0016,cluster_16,0,1,517,1238,15,2,5.66,3109,280,0.0901,0.851,150
anon_page_0016,cluster_16,1,1,524,1238,15,2,6.5,3723,324,0.087,0.634,131
anon_page_0016,cluster_16,2,1,531,1238,15,1,6.62,3177,255,0.0803,0.659,130
anon_page_0016,cluster_16,3,1,538,1238,15,3,6.84,2788,207,0.0742,0.675,71
anon_page_0016,cluster_16,4,1,545,1238,15,1,7.75,3531,257,0.0728,0.72,64
anon_page_0016,cluster_16,5,1,552,1238,15,1,8.69,4301,311,0.0723,0.815,93
anon_page_0016,cluster_16,6,1,559,1238,15,3,8.58,3384,216,0.0638,0.596,130
anon_page_0016,cluster_16,7,1,566,1238,15,1,8.73,2879,166,0.0577,0.685,125
anon_page_0016,cluster_16,8,1,573,1238,15,3,9.54,3455,195,0.0564,0.77,115
anon_page_0016,cluster_16,9,1,580,1238,15,1,10.26,3880,213,0.0549,0.755,144
anon_page_0016,cluster_16,10,1,587,1238,15,0,10.5,3517,174,0.0495,0.859,77
anon_page_0016,cluster_16,11,1,594,1238,15,1,11.08,3706,173,0.0467,0.782,84
anon_page_0016,cluster_16,12,1,601,1238,15,2,11.12,3034,120,0.0396,0.785,114
anon_page_0016,cluster_16,13,1,608,1238,15,2,11.93,3601,141,0.0392,0.744,129
anon_page_0016,cluster_16,14,1,615,1238,15,2,12.32,3491,122,0.0349,0.654,119
anon_page_0016,cluster_16,15,1,622,1238,15,1,12.64,3262,99,0.0303,0.768,98
anon_page_0017,cluster_17,0,2,339,724,8,1,7.62,2582,106,0.0411,0.783,72
anon_page_0017,cluster_17,1,2,346,724,8,2,7.01,2163,88,0.0407,0.42,210
anon_page_0017,cluster_17,2,2,353,724,8,1,6.65,2040,87,0.0426,0.499,213
anon_page_0017,cluster_17,3,2,360,724,8,2,6.75,2431,115,0.0473,0.725,170
anon_page_0017,cluster_17,4,2,367,724,8,0,6.52,2443,121,0.0495,0.688,140
anon_page_0017,cluster_17,5,2,374,724,8,0,6.24,2411,126,0.0523,0.486,145
anon_page_0017,cluster_17,6,2,381,724,8,2,5.76,2135,114,0.0534,0.535,92
anon_page_0017,cluster_17,7,2,388,724,8,1,5.74,2393,137,0.0573,0.546,179
anon_page_0017,cluster_17,8,2,395,724,8,0,5.28,2147,127,0.0592,0.613,123
anon_page_0017,cluster_17,9,2,402,724,8,1,5.28,2432,154,0.0633,0.576,163
anon_page_0017,cluster_17,10,2,409,724,8,3,4.7,2046,133,0.065,0.668,197
anon_page_0017,cluster_17,11,2,416,724,8,1,4.7,2329,161,0.0691,0.637,144
anon_page_0017,cluster_17,12,2,423,724,8,2,4.5,2371,173,0.073,0.674,150
anon_page_0017,cluster_17,13,2,430,724,8,0,4.3,2427,185,0.0762,0.476,213
anon_page_0017,cluster_17,14,2,437,724,8,2,3.8,2132,171,0.0802,0.537,186
anon_page_0017,cluster_17,15,2,444,724,8,1,3.67,2262,191,0.0844,0.536,172
anon_page_0018,cluster_18,0,2,625,3390,21,1,7.77,3947,197,0.0499,0.671,93
anon_page_0018,cluster_18,1,2,632,3390,21,1,7.57,4027,211,0.0524,0.672,218
anon_page_0018,cluster_18,2,2,639,3390,21,1,7.15,3699,198,0.0535,0.837,172
anon_page_0018,cluster_18,3,2,646,3390,21,3,7.22,4309,250,0.058,0.731,193
anon_page_0018,cluster_18,4,2,653,3390,21,0,6.74,3852,227,0.0589,0.644,113
anon_page_0018,cluster_18,5,2,660,3390,21,1,6.45,3757,230,0.0612,0.662,124
anon_page_0018,cluster_18,6,2,667,3390,21,2,6.36,4064,263,0.0647,0.502,163
anon_page_0018,cluster_18,7,2,674,3390,21,1,6.42,4666,322,0.069,0.781,114
